word,level
ir de paseo,A2
reservar un billete de avión,A2
abrigo,A2
hacer una reserva,A2
llevar el pelo largo,A2
repasar una unidad,A2
ajo,A2
calle comercial,A2
medio kilo,A2
oficina de correos,A2
interior,A2
olivo,A2
zumo de frutas,A2
hacer una redacción,A2
gambas,A2
cava,A2
litro de agua,A2
comida china,A2
pagar en efectivo,A2
braga,A2
limpio,A2
quiosco,A2
tener tos,A2
gemelos,A2
persona mayor,A2
partido político,A2
obra de teatro,A2
tarjeta de visita,A2
naturaleza,A2
reservar,A2
coger el metro,A2
tienda de de decoración,A2
botella,A2
nervioso,A2
costa,A2
ropa de niño,A2
DVD,A2
sin IVA,A2
quedar,A2
salir con amigos,A2
carne con patatas,A2
servilleta,A2
probarse,A2
un kilo,A2
vecino,A2
tomar el plato del día,A2
mayonesa,A2
llevar un pañuelo,A2
catedral,A2
invitar,A2
responder a una postal,A2
pintar,A2
viajar en tren,A2
esquina,A2
tarjeta de estudiante,A2
pensión completa,A2
mecánico,A2
afeitarse,A2
portátil,A2
limpiar la cocina,A2
caminar,A2
pedir el menú del día,A2
certificado,A2
responder a un fax,A2
tener dolor de cabeza,A2
caja de galletas,A2
plátano,A2
cita,A2
traer el menú,A2
llamar a la policía,A2
regla,A2
habitante,A2
guantes,A2
escribir un mensaje electrónico,A2
guía turístico,A2
correos,A2
recibir una llamada,A2
escuela de ballet,A2
brazo,A2
Iglesia,A2
muela,A2
morir,A2
pop,A2
estar contento,A2
ir de tiendas,A2
desodorante,A2
perejil,A2
nevera,A2
tomar el menú,A2
zumo de tomate,A2
helado de fresa,A2
ciclista,A2
agricultor,A2
academia de música,A2
corbata,A2
tapa,A2
coger un barco,A2
informática,A2
navegar por la red,A2
pedir algo,A2
tener un hijo,A2
pino,A2
azafata,A2
correr,A2
escuchar,A2
ciencia,A2
viaje corto,A2
cabeza,A2
comida rápida,A2
carácter,A2
pedir la nacionalidad,A2
pasta,A2
cámara,A2
planeta,A2
ir a Correos,A2
paz,A2
piscina,A2
tolerante,A2
carnicero,A2
ropa de mujer,A2
cazadora,A2
ducha,A2
tarjeta telefónica,A2
virus,A2
luna,A2
isla,A2
boca de metro,A2
negocio,A2
musical,A2
estar cansado,A2
galletas,A2
músico,A2
lavar los platos,A2
desierto,A2
calcetines,A2
compartir piso,A2
programa,A2
manzana,A2
presidente,A2
araña,A2
Sabbat,A2
academia de idiomas,A2
cliente,A2
ambulancia,A2
monumento,A2
odiar,A2
cabina,A2
hacer una foto,A2
dar una propina,A2
mirar un plano de metro,A2
invitación,A2
cambiar,A2
dar clases,A2
empresario,A2
dirección electrónica,A2
bañera,A2
cerdo,A2
estar calvo,A2
techo,A2
hacer un curso,A2
estatua,A2
alojamiento y desayuno,A2
tener sed,A2
comisaría,A2
tomar una medicina,A2
viento del norte,A2
academia de ballet,A2
ciudad universitaria,A2
coger,A2
cheque,A2
litro de leche,A2
ordenador portátil,A2
agencia de viajes,A2
hacer gimnasia,A2
ingrediente,A2
nacer,A2
calle mayor,A2
mirar,A2
pizzería,A2
responder,A2
microondas,A2
cafetería,A2
pasillo,A2
doler el cuello,A2
aceite,A2
contestar,A2
filete,A2
reunión,A2
tienda de ropa,A2
ayuntamiento,A2
tener la nacionalidad,A2
tarta de chocolate,A2
ex mujer,A2
tener miedo,A2
salsa,A2
carnicería,A2
cepillo de dientes,A2
tener dolor,A2
tomar una caña,A2
billete,A2
calle peatonal,A2
cometer un error,A2
llamar a los bomberos,A2
mesa de despacho,A2
fotógrafo,A2
afición,A2
chef,A2
plaza mayor,A2
dibujar,A2
biquini,A2
hacer un dibujo,A2
enviar una carta,A2
impresora,A2
niebla,A2
ministro,A2
llevar un sombrero,A2
juez,A2
generoso,A2
empleado,A2
arroz,A2
dejar un mensaje,A2
filete con patatas,A2
chocolate,A2
espalda,A2
mosquito,A2
tomar una copa,A2
mal estado,A2
centro comercial,A2
yogur,A2
socio,A2
bañarse,A2
un musical,A2
doler,A2
cuaderno,A2
dibujo,A2
patata,A2
edificio,A2
llevar rizado,A2
ejército,A2
dependiente,A2
Nordeste,A2
enviar un fax,A2
programa del curso,A2
montar en moto,A2
mantequilla,A2
entrada,A2
tener el pelo largo,A2
hacer la lista de la compra,A2
divorciarse,A2
kilo de filetes,A2
Navidad,A2
pared,A2
cepillarse los dientes,A2
zanahoria,A2
enviar el currículum,A2
calzoncillo,A2
jugar,A2
ir de viaje,A2
hablar con el jefe,A2
ginebra,A2
lavar el coche,A2
restaurante chino,A2
cien gramos,A2
creer en la reencarnación,A2
presentar,A2
reservar una mesa,A2
viajar en barco,A2
concierto de rock,A2
